2022-06-29 17:39:57,2.84,2170,R$3286.34
2022-06-29 17:40:10,1.21,2789,RS4851.02
2022-06-29 17:40:22,1.13,2196,$6721.40
2022-06-29 17:40:39,1.55,1954,R$5063.24
2022-06-29 17:41:09,3.21,2551,$4250.24
2022-06-29 17:41:39,3.33,3856,$7000.24
2022-06-29 17:42:01,2.04,4040,$6300.00
2022-06-29 17:42:15,1.28,3229,R$6593.79
2022-06-29 17:42:52,5.02,2412,$5710.00
2022-06-29 17:43:14,2.03,3814,R$6866.00
2022-06-29 17:44:12,17.21,3402,$5370.00
2022-06-29 17:45:51,202.83),3414,RS5766.59
2022-06-29 17:46:24,3.24,3444,R$5501.66
2022-06-29 17:46:49,2.48,2820,R$5619.10
2022-06-29 17:47:12,yay4:)4,2610,$4590.22
2022-06-29 17:47:34,2.04,2608,$8300.50
2022-06-29 17:47:59,2.52,2608,$9876.93
2022-06-29 17:48:22,2.16,3158,R$5120.60
2022-06-29 17:48:47,2.50,3000,$5308.00
2022-06-29 17:49:14,yawi)4,3433,R$3855.00
2022-06-29 17:49:25,1.04,3769,R$6316.00
2022-06-29 17:49:59,4.16,2065,$4000.00
2022-06-29 17:50:09,1.00,3826,R$3454.20
2022-06-29 17:50:39,3.28,3320,$4954.00
2022-06-29 17:51:10,3.62,3202,$3607.00
2022-06-29 17:51:40,3.24,3996,$7661.61
2022-06-29 17:52:06,2.53,3963,$4478.90
2022-06-29 17:52:26,1.93,3736,R$4892.60
2022-06-29 17:52:46,1.77,3131,$4000.00
2022-06-29 17:53:00,1.23,3123,R$4663.07
2022-06-29 17:53:50,11.18,3011,R$5425.52
2022-06-29 17:54:13,2.07,4848,R$16244.00
2022-06-29 17:54:23,1.00,3973,$6278.00
2022-06-29 17:54:37,1.25,3241,R$4372.64
2022-06-29 17:54:54,1.61,2958,R$5591.60
2022-06-29 17:55:10,1.34,3691,$4351.00
2022-06-29 17:55:21,1.11,3501,$5623.00
2022-06-29 17:56:14,13.30,3244,$9350.00
2022-06-29 17:56:47,3.84,4797,R$8313.11
2022-06-29 17:57:28,6.72,3963,R$3748.95
2022-06-29 17:57:42,1.24,4158,RS4558.86
2022-06-29 17:58:03,1.99,2492,R$4640.00
2022-06-29 17:58:36,3.79,3187,R$6648.00
2022-06-29 17:58:59,yays:)4,4057,R$6512.00
2022-06-29 17:59:09,1.00,3563,RS7865.54
2022-06-29 17:59:32,2.10,2883,$7251.00
2022-06-29 17:59:47,1.38,3765,R$9051.00
2022-06-29 18:00:36,16.69,3559,R$7249.37
2022-06-29 18:00:50,1.27,3853,R$6311.00
2022-06-29 18:01:26,4.83,3923,$7114.00
2022-06-29 18:02:04,5.17,3027,$6710.00
2022-06-29 18:02:35,3.73,3598,$4730.20
2022-06-29 18:03:10,4.32,3367,RS5959.68
2022-06-29 18:03:27,1.49,3440,RS6884.45
2022-06-29 18:04:50,78.20,2879,R$5989.31
2022-06-29 18:05:01,1.08,3991,$9208.67
2022-06-29 18:06:02,21.65,3350,R$9550.00
2022-06-29 18:06:29,2.69,3365,RS7319.86
2022-06-29 18:07:01,3.74,3621,$7300.00
2022-06-29 18:07:16,1.28,3735,$7700.00
2022-06-29 18:07:35,1.85,3174,$6108.00
