2022-06-28 23:49:29,4.27,3338,$8301.00
2022-06-28 23:50:14,9.15,4271,R$5760.00
2022-06-28 23:50:47,3.89,3880,$3253.00
2022-06-28 23:50:57,1.02,3568,R$4880.00
2022-06-28 23:52:03,28.58,2418,$4780.00
2022-06-28 23:52:42,5.70,4150,$5343.00
2022-06-28 23:52:52,1.00,3708,R$5340.00
2022-06-28 23:53:03,1.01,3094,R$4008.00
2022-06-28 23:53:17,1.32,3153,R$4367.20
2022-06-28 23:53:37,1.84,3580,R$8487.20
2022-06-28 23:53:59,1.97,4464,$7377.20
2022-06-28 23:55:03,25.40,4700,R$6320.16
2022-06-28 23:55:53,16.83,5138,$7302.00
2022-06-28 23:56:12,svA:)«,4265,R$4698.00
2022-06-28 23:56:31,1.69,3066,R$5350.00
2022-06-28 23:56:55,yys:)4,3311,RS7716.76
2022-06-28 23:57:09,1.34,4524,R$6382.00
2022-06-28 23:57:32,2.16,3491,RS$7665.00
