2022-06-28 17:01:51,1.22,2524,R$15062.00
2022-06-28 17:02:57,31.33,2029,R$14462.00
2022-06-28 17:03:17,1.69,3588,$8393.45
2022-06-28 17:03:38,2.03,3253,R$14342.00
2022-06-28 17:03:48,1.00,2950,R$14242.00
2022-06-28 17:04:07,1.74,3291,R$13302.00
2022-06-28 17:04:18,1.00,3430,R$13993.88
2022-06-28 17:05:04,1.22,3681,R$13714.00
2022-06-28 17:05:22,1.61,2938,R$16171.00
2022-06-28 17:05:55,4.09,2947,R$18014.00
2022-06-28 17:06:10,1.35,3206,R$15914.00
2022-06-28 17:06:23,1.22,2745,R$17054.00
2022-06-28 17:07:23,19.34,3347,RS16136.71
2022-06-28 17:07:50,2.89,2985,R$14426.00
2022-06-28 17:09:10,1.38,2921,RS17953.00
2022-06-28 17:09:20,1.00,2242,RS15691.13
2022-06-28 17:10:12,2.40,3458,R$17394.00
2022-06-28 17:10:56,7.37,3120,R$16198.00
2022-06-28 17:11:32,4.74,2784,R$15269.00
2022-06-28 17:12:13,6.53,2759,R$14980.61
2022-06-28 17:13:09,15.54,2838,R$26943.00
2022-06-28 17:13:29,1.89,2923,$3700.00
2022-06-28 17:13:53,2.14,2300,R$4202.08
2022-06-28 17:14:11,1.69,2836,$7437.40
2022-06-28 17:14:23,1.11,2890,$7654.00
2022-06-28 17:14:38,1.36,2485,RS4519.34
2022-06-28 17:14:58,1.80,2824,R$15200.58
